Total BT,Fat,Gland,ln(MPV/mAs),
30,30,0,2.8659077656,T = 30 mm
30,25,5,2.6202304166,
30,20,10,2.4341005661,
30,15,15,2.2645627499,
30,10,20,2.0426622902,
30,5,25,1.8290195722,
30,0,30,1.6731168298,
