Total BT,Fat,Gland,ln(MPV/mAs),
40,40,0,2.3096438758,T = 40 mm
40,30,10,1.8700913125,
40,25,15,1.6592857182,
40,20,20,1.4833874846,
40,15,25,1.284015512,
40,10,30,1.1096621249,
40,0,40,0.757544081,
